"univ","code","spec","ms","pzso"
"Азовський морський інститут Національного університету «Одеська морська академія»","073","Менеджмент",0,1
"Азовський морський інститут Національного університету «Одеська морська академія»","271","Річковий та морський транспорт",0,21
"Академія Державної пенітенціарної служби","053","Психологія",0,5
"Академія Державної пенітенціарної служби","081","Право",0,146
"Бердянський державний педагогічний університет","012","Дошкільна освіта",0,25
"Бердянський державний педагогічний університет","013","Початкова освіта",20,21
"Бердянський державний педагогічний університет","014","Середня освіта",0,103
"Бердянський державний педагогічний університет","015","Професійна освіта",0,16
"Бердянський державний педагогічний університет","016","Спеціальна освіта",0,19
"Бердянський державний педагогічний університет","017","Фізична культура і спорт",0,10
"Бердянський державний педагогічний університет","053","Психологія",0,3
"Бердянський державний педагогічний університет","072","Фінанси, банківська справа та страхування",0,1
"Бердянський державний педагогічний університет","073","Менеджмент",0,1
"Бердянський державний педагогічний університет","076","Підприємництво, торгівля та біржова діяльність",0,2
"Бердянський державний педагогічний університет","081","Право",0,2
"Бердянський державний педагогічний університет","231","Соціальна робота",0,4
"Білоцерківський національний аграрний університет","051","Економіка",3,1
"Білоцерківський національний аграрний університет","071","Облік і оподаткування",6,2
"Білоцерківський національний аграрний університет","072","Фінанси, банківська справа та страхування",7,1
"Білоцерківський національний аграрний університет","073","Менеджмент",5,2
"Білоцерківський національний аграрний університет","076","Підприємництво, торгівля та біржова діяльність",3,1
"Білоцерківський національний аграрний університет","081","Право",5,7
"Білоцерківський національний аграрний університет","101","Екологія",5,4
"Білоцерківський національний аграрний університет","181","Харчові технології",15,15
"Білоцерківський національний аграрний університет","193","Геодезія та землеустрій",15,8
"Білоцерківський національний аграрний університет","201","Агрономія",80,66
"Білоцерківський національний аграрний університет","204","Технологія виробництва та переробки продукції тваринництва",55,46
"Білоцерківський національний аграрний університет","205","Лісове господарство",10,10
"Білоцерківський національний аграрний університет","206","Садово-паркове господарство",5,10
"Білоцерківський національний аграрний університет","207","Водні біоресурси та аквакультура",10,14
"Білоцерківський національний аграрний університет","211","Ветеринарна медицина",75,0
"Білоцерківський національний аграрний університет","281","Публічне управління та адміністрування",0,1
"Бурштинський енергетичний коледж Івано-Франківського національного технічного університету нафти і газу","141","Електроенергетика, електротехніка та електромеханіка",20,0
"Бурштинський енергетичний коледж Івано-Франківського національного технічного університету нафти і газу","144","Теплоенергетика",15,0
"Вищий навчальний заклад ""Одеська державна академія технічного регулювання та якості""","151","Автоматизація та комп’ютерно-інтегровані технології",4,0
"Вищий навчальний заклад ""Одеська державна академія технічного регулювання та якості""","152","Метрологія та інформаційно-вимірювальна техніка",15,2
"Вищий навчальний заклад ""Одеська державна академія технічного регулювання та якості""","171","Електроніка",10,0
"Вищий навчальний комунальний заклад Львівської обласної ради ""Львівський інститут медсестринства та лабораторної медицини  ім. Андрея Крупинського""","223","Медсестринство освітня програма: сестринська справа",18,9
"Вищий навчальний комунальний заклад Львівської обласної ради ""Львівський інститут медсестринства та лабораторної медицини  ім. Андрея Крупинського""","224","Технології медичної діагностики та лікування освітня програма: лабораторна діагностика",10,6
"Відокремлений підрозділ ""Львівська філія Київського національного університету культури і мистецтв""","021","Аудіовізуальне мистецтво та виробництво",0,25
"Відокремлений підрозділ ""Львівська філія Київського національного університету культури і мистецтв""","022","Дизайн",0,7
"Відокремлений підрозділ ""Львівська філія Київського національного університету культури і мистецтв""","027","Музеєзнавство, пам’яткознавство",0,8
"Відокремлений підрозділ ""Львівська філія Київського національного університету культури і мистецтв""","241","Готельно-ресторанна справа",0,5
"Відокремлений підрозділ ""Львівська філія Київського національного університету культури і мистецтв""","242","Туризм",0,6
"Відокремлений підрозділ ""Миколаївська філія Київського національного університету культури і мистецтв""","022","Дизайн",0,7
"Відокремлений підрозділ ""Миколаївська філія Київського національного університету культури і мистецтв""","024","Хореографія",0,19
"Відокремлений підрозділ ""Миколаївська філія Київського національного університету культури і мистецтв""","025","Музичне мистецтво",0,21
"Відокремлений підрозділ ""Миколаївська філія Київського національного університету культури і мистецтв""","029","Інформаційна, бібліотечна та архівна справа",0,20
"Відокремлений підрозділ ""Миколаївська філія Київського національного університету культури і мистецтв""","034","Культурологія",0,12
"Відокремлений підрозділ ""Миколаївська філія Київського національного університету культури і мистецтв""","241","Готельно-ресторанна справа",0,3
"Відокремлений підрозділ ""Миколаївська філія Київського національного університету культури і мистецтв""","242","Туризм",0,4
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Бережанський агротехнічний інститут""","051","Економіка",0,1
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Бережанський агротехнічний інститут""","071","Облік і оподаткування",0,2
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Бережанський агротехнічний інститут""","101","Екологія",0,10
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Бережанський агротехнічний інститут""","141","Електроенергетика, електротехніка та електромеханіка",8,11
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Бережанський агротехнічний інститут""","206","Садово-паркове господарство",0,1
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Бережанський агротехнічний інститут""","208","Агроінженерія",20,13
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Немішаївський агротехнічний коледж""","141","Електроенергетика, електротехніка та електромеханіка",30,0
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Немішаївський агротехнічний коледж""","208","Агроінженерія",30,0
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Ніжинський агротехнічний інститут""","071","Облік і оподаткування",0,3
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Ніжинський агротехнічний інститут""","141","Електроенергетика, електротехніка та електромеханіка",10,5
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Ніжинський агротехнічний інститут""","208","Агроінженерія",20,14
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Ніжинський агротехнічний інститут""","275","Транспортні технології",5,2
"Відокремлений структурний підрозділ Національного авіаційного університету ""Кіровоградська льотна академія Національного авіаційного університету""","272","Авіаційний транспорт освітня програма: Аварійне обслуговування та безпека на авіаційному транспорті",0,71
"Вінницький державний педагогічний університет імені Михайла Коцюбинського","012","Дошкільна освіта",10,23
"Вінницький державний педагогічний університет імені Михайла Коцюбинського","013","Початкова освіта",10,29
"Вінницький державний педагогічний університет імені Михайла Коцюбинського","014","Середня освіта",10,224
"Вінницький державний педагогічний університет імені Михайла Коцюбинського","015","Професійна освіта",0,9
"Вінницький державний педагогічний університет імені Михайла Коцюбинського","017","Фізична культура і спорт",0,10
"Вінницький державний педагогічний університет імені Михайла Коцюбинського","025","Музичне мистецтво",7,0
"Вінницький державний педагогічний університет імені Михайла Коцюбинського","035","Філологія",0,5
"Вінницький державний педагогічний університет імені Михайла Коцюбинського","053","Психологія",0,6
"Вінницький державний педагогічний університет імені Михайла Коцюбинського","061","Журналістика",0,6
"Вінницький державний педагогічний університет імені Михайла Коцюбинського","091","Біологія",0,2
"Вінницький державний педагогічний університет імені Михайла Коцюбинського","102","Хімія",0,1
"Вінницький державний педагогічний університет імені Михайла Коцюбинського","103","Науки про Землю",0,10
"Вінницький державний педагогічний університет імені Михайла Коцюбинського","111","Математика",0,6
"Вінницький державний педагогічний університет імені Михайла Коцюбинського","231","Соціальна робота",0,7
"Вінницький навчально-науковий інститут економіки Тернопільського національного економічного університету","071","Облік і оподаткування",0,1
"Вінницький навчально-науковий інститут економіки Тернопільського національного економічного університету","072","Фінанси, банківська справа та страхування",0,8
"Вінницький навчально-науковий інститут економіки Тернопільського національного економічного університету","076","Підприємництво, торгівля та біржова діяльність",0,5
"Вінницький національний аграрний університет","051","Економіка",0,1
"Вінницький національний аграрний університет","071","Облік і оподаткування",0,5
"Вінницький національний аграрний університет","076","Підприємництво, торгівля та біржова діяльність",0,2
"Вінницький національний аграрний університет","081","Право",0,5
"Вінницький національний аграрний університет","101","Екологія",0,9
"Вінницький національний аграрний університет","133","Галузеве машинобудування",20,22
"Вінницький національний аграрний університет","141","Електроенергетика, електротехніка та електромеханіка",10,12
"Вінницький національний аграрний університет","181","Харчові технології",8,15
"Вінницький національний аграрний університет","201","Агрономія",10,45
"Вінницький національний аграрний університет","202","Захист і карантин рослин",0,1
"Вінницький національний аграрний університет","203","Садівництво та виноградарство",0,1
"Вінницький національний аграрний університет","204","Технологія виробництва та переробки продукції тваринництва",20,26
"Вінницький національний аграрний університет","205","Лісове господарство",0,9
"Вінницький національний аграрний університет","206","Садово-паркове господарство",0,7
"Вінницький національний аграрний університет","208","Агроінженерія",20,49
"Вінницький національний аграрний університет","241","Готельно-ресторанна справа",0,1
"Вінницький національний технічний університет","073","Менеджмент",0,7
"Вінницький національний технічний університет","101","Екологія",0,7
"Вінницький національний технічний університет","121","Інженерія програмного забезпечення",18,37
"Вінницький національний технічний університет","122","Комп'ютерні науки",15,44
"Вінницький національний технічний університет","123","Комп’ютерна інженерія",15,37
"Вінницький національний технічний університет","124","Системний аналіз",3,2
"Вінницький національний технічний університет","125","Кібербезпека",4,25
"Вінницький національний технічний університет","126","Інформаційні системи та технології",0,13
"Вінницький національний технічний університет","131","Прикладна механіка",5,22
"Вінницький національний технічний університет","133","Галузеве машинобудування",0,9
"Вінницький національний технічний університет","141","Електроенергетика, електротехніка та електромеханіка",15,49
"Вінницький національний технічний університет","144","Теплоенергетика",0,7
"Вінницький національний технічний університет","151","Автоматизація та комп’ютерно-інтегровані технології",5,38
"Вінницький національний технічний університет","152","Метрологія та інформаційно-вимірювальна техніка",0,9
"Вінницький національний технічний університет","153","Мікро- та наносистемна техніка",0,5
"Вінницький національний технічний університет","163","Біомедична інженерія",0,2
"Вінницький національний технічний університет","171","Електроніка",0,2
"Вінницький національний технічний університет","172","Телекомунікації та радіотехніка",15,8
"Вінницький національний технічний університет","192","Будівництво та цивільна інженерія",15,29
"Вінницький національний технічний університет","274","Автомобільний транспорт",10,9
"Вінницький національний технічний університет","275","Транспортні технології",5,9
"Вінницький торговельно - економічний інститут Київського національного торговельно - економічного університету","051","Економіка",0,2
"Вінницький торговельно - економічний інститут Київського національного торговельно - економічного університету","071","Облік і оподаткування",0,8
"Вінницький торговельно - економічний інститут Київського національного торговельно - економічного університету","072","Фінанси, банківська справа та страхування",0,7
"Вінницький торговельно - економічний інститут Київського національного торговельно - економічного університету","073","Менеджмент",0,10
"Вінницький торговельно - економічний інститут Київського національного торговельно - економічного університету","075","Маркетинг",0,3
"Вінницький торговельно - економічний інститут Київського національного торговельно - економічного університету","076","Підприємництво, торгівля та біржова діяльність",0,1
"Вінницький торговельно - економічний інститут Київського національного торговельно - економічного університету","081","Право",0,3
"Вінницький торговельно - економічний інститут Київського національного торговельно - економічного університету","181","Харчові технології",0,14
"Вінницький торговельно - економічний інститут Київського національного торговельно - економічного університету","241","Готельно-ресторанна справа",0,5
"Вінницький торговельно - економічний інститут Київського національного торговельно - економічного університету","242","Туризм",0,2
"Вінницький торговельно - економічний інститут Київського національного торговельно - економічного університету","292","Міжнародні економічні відносини",0,2
"Глухівський агротехнічний інститут імені С.А. Ковпака Сумського національного аграрного університету","072","Фінанси, банківська справа та страхування",6,0
"Глухівський агротехнічний інститут імені С.А. Ковпака Сумського національного аграрного університету","192","Будівництво та цивільна інженерія",25,0
"Глухівський агротехнічний інститут імені С.А. Ковпака Сумського національного аграрного університету","208","Агроінженерія",25,0
"Глухівський національний педагогічний університет імені Олександра Довженка","012","Дошкільна освіта",20,11
"Глухівський національний педагогічний університет імені Олександра Довженка","013","Початкова освіта",15,18
"Глухівський національний педагогічний університет імені Олександра Довженка","014","Середня освіта",89,72
"Глухівський національний педагогічний університет імені Олександра Довженка","015","Професійна освіта",65,6
"Глухівський національний педагогічний університет імені Олександра Довженка","053","Психологія",0,1
"Глухівський національний педагогічний університет імені Олександра Довженка","231","Соціальна робота",7,1
"Горлівський інститут іноземних мов Державного вищого навчального закладу ""Донбаський державний педагогічний університет""","014","Середня освіта",39,101
"Горлівський інститут іноземних мов Державного вищого навчального закладу ""Донбаський державний педагогічний університет""","035","Філологія",0,10
"Горлівський інститут іноземних мов Державного вищого навчального закладу ""Донбаський державний педагогічний університет""","053","Психологія",0,6
"Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""","012","Дошкільна освіта",25,26
"Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""","013","Початкова освіта",20,29
"Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""","014","Середня освіта",39,111
"Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""","015","Професійна освіта",0,8
"Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""","016","Спеціальна освіта",0,26
"Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""","053","Психологія",0,11
"Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""","227","Фізична терапія, ерготерапія",0,4
"Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""","231","Соціальна робота",0,9
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","033","Філософія",0,2
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","051","Економіка",0,5
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","054","Соціологія",0,2
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","071","Облік і оподаткування",5,5
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","072","Фінанси, банківська справа та страхування",0,8
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","073","Менеджмент",0,5
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","075","Маркетинг",0,2
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","076","Підприємництво, торгівля та біржова діяльність",0,6
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","101","Екологія",0,7
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","103","Науки про Землю",1,3
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","121","Інженерія програмного забезпечення",1,8
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","122","Комп'ютерні науки",3,10
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","123","Комп’ютерна інженерія",1,7
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","125","Кібербезпека",0,8
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","131","Прикладна механіка",0,6
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","132","Матеріалознавство",0,3
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","133","Галузеве машинобудування",3,19
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","141","Електроенергетика, електротехніка та електромеханіка",5,18
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","144","Теплоенергетика",5,0
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","151","Автоматизація та комп’ютерно-інтегровані технології",2,16
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","152","Метрологія та інформаційно-вимірювальна техніка",0,2
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","161","Хімічні технології та інженерія",5,11
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","171","Електроніка",5,11
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","172","Телекомунікації та радіотехніка",5,6
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","183","Технології захисту навколишнього середовища",0,6
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","184","Гірництво",30,21
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","193","Геодезія та землеустрій",4,8
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","281","Публічне управління та адміністрування",0,1
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","6.050103","програмна інженерія",1,0
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","6.050201","системна інженерія",2,0
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","6.050502","інженерна механіка",1,0
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","6.050503","машинобудування",1,0
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","6.050903","телекомунікації",1,0
"Державний вищий навчальний заклад ""Донецький національний технічний університет""","6.080101","геодезія, картографія та землеустрій",1,0
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""","051","Економіка",14,166
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""","053","Психологія",0,4
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""","054","Соціологія",0,4
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""","071","Облік і оподаткування",17,63
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""","072","Фінанси, банківська справа та страхування",37,94
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""","073","Менеджмент",5,46
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""","075","Маркетинг",8,41
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""","076","Підприємництво, торгівля та біржова діяльність",0,45
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""","081","Право",5,25
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""","122","Комп'ютерні науки",15,31
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""","124","Системний аналіз",0,21
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""","125","Кібербезпека",0,9
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""","242","Туризм",0,10
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""","281","Публічне управління та адміністрування",0,9
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""","292","Міжнародні економічні відносини",0,9
"Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""","012","Дошкільна освіта",15,17
"Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""","013","Початкова освіта",0,39
"Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""","014","Середня освіта",0,217
"Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""","022","Дизайн",0,5
"Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""","024","Хореографія",0,5
"Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""","035","Філологія",0,1
"Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""","053","Психологія",0,7
"Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""","231","Соціальна робота",0,7
"Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""","242","Туризм",0,3
"Державний вищий навчальний заклад ""Криворізький національний університет""","015","Професійна освіта",5,13
"Державний вищий навчальний заклад ""Криворізький національний університет""","051","Економіка",10,2
"Державний вищий навчальний заклад ""Криворізький національний університет""","071","Облік і оподаткування",4,8
"Державний вищий навчальний заклад ""Криворізький національний університет""","072","Фінанси, банківська справа та страхування",5,6
"Державний вищий навчальний заклад ""Криворізький національний університет""","073","Менеджмент",0,4
"Державний вищий навчальний заклад ""Криворізький національний університет""","103","Науки про Землю",0,13
"Державний вищий навчальний заклад ""Криворізький національний університет""","121","Інженерія програмного забезпечення",6,15
"Державний вищий навчальний заклад ""Криворізький національний університет""","122","Комп'ютерні науки",0,1
"Державний вищий навчальний заклад ""Криворізький національний університет""","123","Комп’ютерна інженерія",0,12
