"spec","ms.perc_cont","ms.perc_bud","vnz","ms_un_perc_bud","ms_un_perc_cont"
"012 дошкільна освіта","51.39","40.45","""Закарпатський угорський інститут імені Ференца Ракоці ІІ""","0",51.72
"012 дошкільна освіта","51.39","40.45","Дрогобицький державний педагогічний університет імені Івана Франка","33.33",75
"012 дошкільна освіта","51.39","40.45","Полтавський національний педагогічний університет імені В.Г. Короленка","46.15",0
"012 дошкільна освіта","51.39","40.45","Чернівецький національний університет імені Юрія Федьковича","12.5",0
"012 дошкільна освіта","51.39","40.45","Державний вищий навчальний заклад ""Прикарпатський національний університет імені Василя Стефаника""","17.65",27.45
"012 дошкільна освіта","51.39","40.45","Черкаський національний університет імені Богдана Хмельницького","15",50
"012 дошкільна освіта","51.39","40.45","Ніжинський державний університет імені Миколи Гоголя","15.38",47.83
"012 дошкільна освіта","51.39","40.45","Державний вищий навчальний заклад ""Переяслав-Хмельницький державний педагогічний університет імені Григорія Сковороди""","58.33",0
"012 дошкільна освіта","51.39","40.45","Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""","49.02",76.92
"012 дошкільна освіта","51.39","40.45","Східноєвропейський національний університет імені Лесі Українки","44.74",0
"012 дошкільна освіта","51.39","40.45","Комунальний заклад ""Харківська гуманітарно-педагогічна академія"" Харківської обласної ради","50.91",0
"012 дошкільна освіта","51.39","40.45","Харківський національний педагогічний університет імені Г.С. Сковороди","40.54",0
"012 дошкільна освіта","51.39","40.45","Миколаївський національний університет імені В.О. Сухомлинського","48.28",0
"012 дошкільна освіта","51.39","40.45","Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка","20",0
"012 дошкільна освіта","51.39","40.45","Рівненський державний гуманітарний університет","26.79",0
"012 дошкільна освіта","51.39","40.45","Уманський державний педагогічний університет імені Павла Тичини","72.58",66.67
"012 дошкільна освіта","51.39","40.45","Тернопільський національний педагогічний університет імені Володимира Гнатюка","46.67",0
"012 дошкільна освіта","51.39","40.45","Кам'янець-Подільський національний університет імені Івана Огієнка","47.62",25.93
"012 дошкільна освіта","51.39","40.45","Хмельницька гуманітарно-педагогічна академія","57.14",0
"012 дошкільна освіта","51.39","40.45","Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»","54.05",27.78
"012 дошкільна освіта","51.39","40.45","Вінницький державний педагогічний університет імені Михайла Коцюбинського","30.3",0
"012 дошкільна освіта","51.39","40.45","Чернігівський національний педагогічний університет імені Т.Г. Шевченка","27.78",0
"012 дошкільна освіта","51.39","40.45","Центральноукраїнський державний педагогічний університет імені Володимира Винниченка (Кіровоградський державний педагогічний університет імені Володимира Винниченка)","0",33.33
"012 дошкільна освіта","51.39","40.45","Ізмаїльський державний гуманітарний університет","42.11",0
"012 дошкільна освіта","51.39","40.45","Державний заклад ""Луганський національний університет імені Тараса Шевченка""","40",0
"012 дошкільна освіта","51.39","40.45","Бердянський державний педагогічний університет","0",47.62
"012 дошкільна освіта","51.39","40.45","Національний педагогічний університет імені М.П. Драгоманова","63.33",29.91
"012 дошкільна освіта","51.39","40.45","Житомирський державний університет імені Івана Франка","21.74",0
"012 дошкільна освіта","51.39","40.45","Херсонський державний університет","41.67",39.58
"012 дошкільна освіта","51.39","40.45","Маріупольський державний університет","0",8.93
"012 дошкільна освіта","51.39","40.45","Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""","46.88",38.36
"012 дошкільна освіта","51.39","40.45","Сумський державний педагогічний університет імені А.С. Макаренка","22.73",0
"012 дошкільна освіта","51.39","40.45","Глухівський національний педагогічний університет імені Олександра Довженка","64.52",0
"012 дошкільна освіта","51.39","40.45","Мукачівський державний університет","57.69",0
"012 дошкільна освіта","51.39","40.45","Мелітопольський державний педагогічний університет імені Богдана Хмельницького","66.07",0
"013 початкова освіта","57.55","41.12","Кам'янець-Подільський національний університет імені Івана Огієнка","10.64",0
"013 початкова освіта","57.55","41.12","Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""","40.82",0
"013 початкова освіта","57.55","41.12","Дрогобицький державний педагогічний університет імені Івана Франка","26.79",0
"013 початкова освіта","57.55","41.12","Полтавський національний педагогічний університет імені В.Г. Короленка","33.33",0
"013 початкова освіта","57.55","41.12","Чернівецький національний університет імені Юрія Федьковича","37.5",0
"013 початкова освіта","57.55","41.12","Миколаївський національний університет імені В.О. Сухомлинського","60.47",0
"013 початкова освіта","57.55","41.12","Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»","55.88",43.16
"013 початкова освіта","57.55","41.12","Черкаський національний університет імені Богдана Хмельницького","59.52",30.77
"013 початкова освіта","57.55","41.12","Ніжинський державний університет імені Миколи Гоголя","55.56",0
"013 початкова освіта","57.55","41.12","Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""","0",44.26
"013 початкова освіта","57.55","41.12","Центральноукраїнський державний педагогічний університет імені Володимира Винниченка (Кіровоградський державний педагогічний університет імені Володимира Винниченка)","35",42.86
"013 початкова освіта","57.55","41.12","Рівненський державний гуманітарний університет","44.44",0
"013 початкова освіта","57.55","41.12","Державний вищий навчальний заклад ""Переяслав-Хмельницький державний педагогічний університет імені Григорія Сковороди""","64.94",0
"013 початкова освіта","57.55","41.12","Сумський державний педагогічний університет імені А.С. Макаренка","50",0
"013 початкова освіта","57.55","41.12","Вінницький державний педагогічний університет імені Михайла Коцюбинського","25.64",25.86
"013 початкова освіта","57.55","41.12","Тернопільський національний педагогічний університет імені Володимира Гнатюка","52.5",0
"013 початкова освіта","57.55","41.12","Мукачівський державний університет","64.52",0
"013 початкова освіта","57.55","41.12","Харківський національний педагогічний університет імені Г.С. Сковороди","37.84",0
"013 початкова освіта","57.55","41.12","Уманський державний педагогічний університет імені Павла Тичини","66.13",80
"013 початкова освіта","57.55","41.12","Хмельницька гуманітарно-педагогічна академія","73.53",0
"013 початкова освіта","57.55","41.12","Державний заклад ""Луганський національний університет імені Тараса Шевченка""","49.09",0
"013 початкова освіта","57.55","41.12","Чернігівський національний педагогічний університет імені Т.Г. Шевченка","9.09",0
"013 початкова освіта","57.55","41.12","Мелітопольський державний педагогічний університет імені Богдана Хмельницького","65.79",56
"013 початкова освіта","57.55","41.12","""Закарпатський угорський інститут імені Ференца Ракоці ІІ""","0",75
"013 початкова освіта","57.55","41.12","Комунальний заклад ""Харківська гуманітарно-педагогічна академія"" Харківської обласної ради","52.63",0
"013 початкова освіта","57.55","41.12","Національний педагогічний університет імені М.П. Драгоманова","55.56",19.15
"013 початкова освіта","57.55","41.12","Херсонський державний університет","33.33",34.55
"013 початкова освіта","57.55","41.12","Бердянський державний педагогічний університет","48.78",75.24
"013 початкова освіта","57.55","41.12","Ізмаїльський державний гуманітарний університет","64.71",0
"013 початкова освіта","57.55","41.12","Східноєвропейський національний університет імені Лесі Українки","25.64",0
"013 початкова освіта","57.55","41.12","Глухівський національний педагогічний університет імені Олександра Довженка","45.45",0
"014 середня освіта","33.85","14.97","Дніпропетровський національний університет імені Олеся Гончара","8.11",0
"014 середня освіта","33.85","14.97","Полтавський національний педагогічний університет імені В.Г. Короленка","2.72",0
"014 середня освіта","33.85","14.97","Хмельницький національний університет","17.24",13.95
"014 середня освіта","33.85","14.97","Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""","0",16.23
"014 середня освіта","33.85","14.97","Державний вищий навчальний заклад ""Переяслав-Хмельницький державний педагогічний університет імені Григорія Сковороди""","28.24",0
"014 середня освіта","33.85","14.97","Державний вищий навчальний заклад ""Прикарпатський національний університет імені Василя Стефаника""","7.02",22.01
"014 середня освіта","33.85","14.97","Горлівський інститут іноземних мов Державного вищого навчального закладу ""Донбаський державний педагогічний університет""","27.86",0
"014 середня освіта","33.85","14.97","Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""","26",36.14
"014 середня освіта","33.85","14.97","Уманський державний педагогічний університет імені Павла Тичини","46.94",56.9
"014 середня освіта","33.85","14.97","Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»","10.65",26.43
"014 середня освіта","33.85","14.97","Херсонський державний університет","6.37",10.92
"014 середня освіта","33.85","14.97","Хмельницька гуманітарно-педагогічна академія","24.24",0
"014 середня освіта","33.85","14.97","Мелітопольський державний педагогічний університет імені Богдана Хмельницького","40.62",44.26
"014 середня освіта","33.85","14.97","Дрогобицький державний педагогічний університет імені Івана Франка","19",52.17
"014 середня освіта","33.85","14.97","Харківський національний педагогічний університет імені Г.С. Сковороди","3.7",0
"014 середня освіта","33.85","14.97","Житомирський державний університет імені Івана Франка","5.06",0
"014 середня освіта","33.85","14.97","Центральноукраїнський державний педагогічний університет імені Володимира Винниченка (Кіровоградський державний педагогічний університет імені Володимира Винниченка)","13.97",27.22
"014 середня освіта","33.85","14.97","Сумський державний педагогічний університет імені А.С. Макаренка","9.66",0
"014 середня освіта","33.85","14.97","Черкаський національний університет імені Богдана Хмельницького","4.07",14.29
"014 середня освіта","33.85","14.97","Мукачівський державний університет","29.41",0
"014 середня освіта","33.85","14.97","""Закарпатський угорський інститут імені Ференца Ракоці ІІ""","0",16.98
"014 середня освіта","33.85","14.97","Маріупольський державний університет","0",15.38
"014 середня освіта","33.85","14.97","Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка","22.13",0
"014 середня освіта","33.85","14.97","Тернопільський національний педагогічний університет імені Володимира Гнатюка","19.79",0
"014 середня освіта","33.85","14.97","Чернівецький національний університет імені Юрія Федьковича","3.19",0
"014 середня освіта","33.85","14.97","Чернігівський національний педагогічний університет імені Т.Г. Шевченка","16.58",0
"014 середня освіта","33.85","14.97","Ізмаїльський державний гуманітарний університет","39.2",0
"014 середня освіта","33.85","14.97","Ніжинський державний університет імені Миколи Гоголя","12.61",37.29
"014 середня освіта","33.85","14.97","Комунальний заклад ""Харківська гуманітарно-педагогічна академія"" Харківської обласної ради","44.79",0
"014 середня освіта","33.85","14.97","Кам'янець-Подільський національний університет імені Івана Огієнка","11.11",40.83
"014 середня освіта","33.85","14.97","Бердянський державний педагогічний університет","0",31.25
"014 середня освіта","33.85","14.97","Державний заклад ""Луганський національний університет імені Тараса Шевченка""","16.23",0
"014 середня освіта","33.85","14.97","Національний педагогічний університет імені М.П. Драгоманова","11.33",17.27
"014 середня освіта","33.85","14.97","Східноєвропейський національний університет імені Лесі Українки","12.44",0
"014 середня освіта","33.85","14.97","Вінницький державний педагогічний університет імені Михайла Коцюбинського","4.27",27.64
"014 середня освіта","33.85","14.97","Глухівський національний педагогічний університет імені Олександра Довженка","55.28",0
"014 середня освіта","33.85","14.97","Рівненський державний гуманітарний університет","16.04",40.21
"015 професійна освіта","50","49.03","Глухівський національний педагогічний університет імені Олександра Довженка","91.55",0
"015 професійна освіта","50","49.03","Луцький національний технічний університет","68.97",0
"015 професійна освіта","50","49.03","Національний університет біоресурсів і природокористування України","100",0
"015 професійна освіта","50","49.03","Подільський державний аграрно-технічний університет","58.33",0
"015 професійна освіта","50","49.03","Національна металургійна академія України","100",0
"015 професійна освіта","50","49.03","Київський національний університет технологій та дизайну","40",0
"015 професійна освіта","50","49.03","Національний педагогічний університет імені М.П. Драгоманова","15",0
"015 професійна освіта","50","49.03","Державний вищий навчальний заклад ""Приазовський державний технічний університет""","71.43",0
"015 професійна освіта","50","49.03","Державний заклад ""Луганський національний університет імені Тараса Шевченка""","74.29",0
"015 професійна освіта","50","49.03","Державний вищий навчальний заклад ""Криворізький національний університет""","27.78",0
"015 професійна освіта","50","49.03","Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»","0",28.57
"015 професійна освіта","50","49.03","Дрогобицький державний педагогічний університет імені Івана Франка","38.46",0
"015 професійна освіта","50","49.03","Уманський державний педагогічний університет імені Павла Тичини","67.65",0
"015 професійна освіта","50","49.03","Навчально-науковий професійно-педагогічний інститут Української інженерно- педагогічної академії ( м.Бахмут)","61.11",0
"015 професійна освіта","50","49.03","Українська інженерно-педагогічна академія","48.11",0
"015 професійна освіта","50","49.03","Тернопільський національний педагогічний університет імені Володимира Гнатюка","62.32",0
"015 професійна освіта","50","49.03","Чернігівський національний педагогічний університет імені Т.Г. Шевченка","32.35",0
"015 професійна освіта","50","49.03","Державний вищий навчальний заклад ""Переяслав-Хмельницький державний педагогічний університет імені Григорія Сковороди""","55.32",0
"016 спеціальна освіта","39.35","4.82","Рівненський державний гуманітарний університет","0",47.73
"016 спеціальна освіта","39.35","4.82","Бердянський державний педагогічний університет","0",45.98
"016 спеціальна освіта","39.35","4.82","Національний педагогічний університет імені М.П. Драгоманова","0",22.69
"016 спеціальна освіта","39.35","4.82","Ізмаїльський державний гуманітарний університет","50",0
"016 спеціальна освіта","39.35","4.82","Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»","0",2.33
"016 спеціальна освіта","39.35","4.82","Центральноукраїнський державний педагогічний університет імені Володимира Винниченка (Кіровоградський державний педагогічний університет імені Володимира Винниченка)","0",16.67
"016 спеціальна освіта","39.35","4.82","Комунальний вищий навчальний заклад «Хортицька національна навчально-реабілітаційна академія» Запорізької обласної ради","18.52",0
"016 спеціальна освіта","39.35","4.82","Уманський державний педагогічний університет імені Павла Тичини","41.18",56.31
"016 спеціальна освіта","39.35","4.82","Кам'янець-Подільський національний університет імені Івана Огієнка","11.11",39.53
"017 фізична культура і спорт","20.98","15.64","Державний заклад ""Луганський національний університет імені Тараса Шевченка""","56",0
"017 фізична культура і спорт","20.98","15.64","Херсонський державний університет","60",0
"017 фізична культура і спорт","20.98","15.64","Сумський державний університет","52.38",0
"017 фізична культура і спорт","20.98","15.64","Миколаївський національний університет імені В.О. Сухомлинського","50",0
"017 фізична культура і спорт","20.98","15.64","Львівський державний університет фізичної культури","15.72",0
"017 фізична культура і спорт","20.98","15.64","Дніпропетровський державний інститут фізичної культури і спорту","12.05",0
"017 фізична культура і спорт","20.98","15.64","Кам'янець-Подільський національний університет імені Івана Огієнка","0",7.69
"017 фізична культура і спорт","20.98","15.64","Черкаський національний університет імені Богдана Хмельницького","0",15.38
"017 фізична культура і спорт","20.98","15.64","Національний технічний університет ""Харківський політехнічний інститут""","33.33",0
"017 фізична культура і спорт","20.98","15.64","Івано-Франківський коледж фізичного виховання Національного університету фізичного виховання і спорту України","100",0
"017 фізична культура і спорт","20.98","15.64","Чорноморський національний університет імені Петра Могили","47.37",0
"017 фізична культура і спорт","20.98","15.64","Чернівецький національний університет імені Юрія Федьковича","30",0
"017 фізична культура і спорт","20.98","15.64","Харківська державна академія фізичної культури","24.62",0
"017 фізична культура і спорт","20.98","15.64","Національний університет кораблебудування імені адмірала Макарова","34.09",0
"017 фізична культура і спорт","20.98","15.64","Таврійський національний університет імені В.І.Вернадського","25",0
"022 дизайн","21.45","21.21","Косівський інститут прикладного та декоративного мистецтва Львівської національної академії мистецтв","53.33",0
"022 дизайн","21.45","21.21","Харківська державна академія дизайну і мистецтв","14.71",0
"022 дизайн","21.45","21.21","Черкаський державний технологічний університет","50",0
"022 дизайн","21.45","21.21","Комунальний вищий навчальний заклад «Хортицька національна навчально-реабілітаційна академія» Запорізької обласної ради","37.5",0
"022 дизайн","21.45","21.21","Київський національний університет будівництва і архітектури","31.03",0
"022 дизайн","21.45","21.21","Державний вищий навчальний заклад ""Національний лісотехнічний університет України""","50",0
"022 дизайн","21.45","21.21","Закарпатська академія мистецтв","44.44",0
"022 дизайн","21.45","21.21","Національний університет ""Львівська політехніка""","3.85",0
"022 дизайн","21.45","21.21","Херсонський національний технічний університет","25",0
"022 дизайн","21.45","21.21","Українська академія друкарства","50",0
"022 дизайн","21.45","21.21","Луцький національний технічний університет","46.67",55.81
"022 дизайн","21.45","21.21","Державний заклад ""Луганський національний університет імені Тараса Шевченка""","52.63",0
"022 дизайн","21.45","21.21","Тернопільський національний педагогічний університет імені Володимира Гнатюка","60",0
"022 дизайн","21.45","21.21","Київський національний університет технологій та дизайну","29.41",0
"022 дизайн","21.45","21.21","Національний авіаційний університет","29.17",0
"022 дизайн","21.45","21.21","Запорізький національний технічний університет","38.46",0
"023 образотворче мистецтво, декоративне мистецтво, реставрація","34.35","17.34","Закарпатська академія мистецтв","50",0
"023 образотворче мистецтво, декоративне мистецтво, реставрація","34.35","17.34","Косівський інститут прикладного та декоративного мистецтва Львівської національної академії мистецтв","55.56",0
"023 образотворче мистецтво, декоративне мистецтво, реставрація","34.35","17.34","Черкаський національний університет імені Богдана Хмельницького","0",57.14
"023 образотворче мистецтво, декоративне мистецтво, реставрація","34.35","17.34","Рівненський державний гуманітарний університет","50",0
"023 образотворче мистецтво, декоративне мистецтво, реставрація","34.35","17.34","Херсонський державний університет","0",7.69
"023 образотворче мистецтво, декоративне мистецтво, реставрація","34.35","17.34","Національний педагогічний університет імені М.П. Драгоманова","33.33",0
"023 образотворче мистецтво, декоративне мистецтво, реставрація","34.35","17.34","Чернівецький національний університет імені Юрія Федьковича","57.14",0
"023 образотворче мистецтво, декоративне мистецтво, реставрація","34.35","17.34","Комунальний вищий навчальний заклад «Хортицька національна навчально-реабілітаційна академія» Запорізької обласної ради","46.67",0
"023 образотворче мистецтво, декоративне мистецтво, реставрація","34.35","17.34","Українська академія друкарства","47.83",0
"023 образотворче мистецтво, декоративне мистецтво, реставрація","34.35","17.34","Харківська державна академія дизайну і мистецтв","42.86",0
"023 образотворче мистецтво, декоративне мистецтво, реставрація","34.35","17.34","Державний заклад ""Луганський національний університет імені Тараса Шевченка""","50",0
"024 хореографія","29.15","4","Державний заклад ""Луганський національний університет імені Тараса Шевченка""","20",0
"024 хореографія","29.15","4","Центральноукраїнський державний педагогічний університет імені Володимира Винниченка (Кіровоградський державний педагогічний університет імені Володимира Винниченка)","0",5.88
"024 хореографія","29.15","4","Бердянський державний педагогічний університет","0",6.25
"024 хореографія","29.15","4","Національний педагогічний університет імені М.П. Драгоманова","50",14.29
"024 хореографія","29.15","4","Рівненський державний гуманітарний університет","50",0
"024 хореографія","29.15","4","Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""","0",11.11
"024 хореографія","29.15","4","Хмельницька гуманітарно-педагогічна академія","13.33",0
"024 хореографія","29.15","4","Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»","0",9.09
"024 хореографія","29.15","4","Львівський державний університет фізичної культури","100",0
"024 хореографія","29.15","4","Харківський національний педагогічний університет імені Г.С. Сковороди","0",31.43
"025 музичне мистецтво","65.7","11.24","Національний педагогічний університет імені М.П. Драгоманова","0",43.75
"025 музичне мистецтво","65.7","11.24","Мукачівський державний університет","50",0
"025 музичне мистецтво","65.7","11.24","Східноєвропейський національний університет імені Лесі Українки","63.64",0
"025 музичне мистецтво","65.7","11.24","Рівненський державний гуманітарний університет","41.67",0
"025 музичне мистецтво","65.7","11.24","Державний заклад ""Луганський національний університет імені Тараса Шевченка""","61.54",0
"025 музичне мистецтво","65.7","11.24","Уманський державний педагогічний університет імені Павла Тичини","40",0
"025 музичне мистецтво","65.7","11.24","Київський інститут музики ім. Р.М. Глієра","84",64
"025 музичне мистецтво","65.7","11.24","Вінницький державний педагогічний університет імені Михайла Коцюбинського","100",0
"025 музичне мистецтво","65.7","11.24","Одеська національна музична академія імені А.В. Нежданової","0",26
"026 сценічне мистецтво","39.95","0.7","Рівненський державний гуманітарний університет","50",0
"029 інформаційна, бібліотечна та архівна справа","60.47","18.15","Національний педагогічний університет імені М.П. Драгоманова","100",0
"029 інформаційна, бібліотечна та архівна справа","60.47","18.15","Тернопільський національний економічний університет","23.81",0
"029 інформаційна, бібліотечна та архівна справа","60.47","18.15","Державний заклад ""Луганський національний університет імені Тараса Шевченка""","100",0
"029 інформаційна, бібліотечна та архівна справа","60.47","18.15","Національний аерокосмічний університет ім. М. Є. Жуковського ""Харківський авіаційний інститут""","41.67",0
"029 інформаційна, бібліотечна та архівна справа","60.47","18.15","Рівненський державний гуманітарний університет","83.33",0
"029 інформаційна, бібліотечна та архівна справа","60.47","18.15","Одеський національний політехнічний університет","55.56",0
"029 інформаційна, бібліотечна та архівна справа","60.47","18.15","Донецький національний університет імені Василя Стуса","25",0
"029 інформаційна, бібліотечна та архівна справа","60.47","18.15","Полтавський національний технічний університет імені Юрія Кондратюка","71.43",0
"029 інформаційна, бібліотечна та архівна справа","60.47","18.15","Українська академія друкарства","50",0
"029 інформаційна, бібліотечна та архівна справа","60.47","18.15","Івано-Франківський національний технічний університет нафти і газу","18.18",0
"029 інформаційна, бібліотечна та архівна справа","60.47","18.15","Приватний вищий навчальний заклад ""Академія рекреаційних технологій і права""","0",42.86
"029 інформаційна, бібліотечна та архівна справа","60.47","18.15","Таврійський національний університет імені В.І.Вернадського","57.14",0
"029 інформаційна, бібліотечна та архівна справа","60.47","18.15","Національний авіаційний університет","20",0
"034 культурологія","21.94","0.7","Хмельницька гуманітарно-педагогічна академія","16.67",0
"034 культурологія","21.94","0.7","Маріупольський державний університет","0",22.22
"035 філологія","2.76","0","Національний педагогічний університет імені М.П. Драгоманова","0",12.87
"035 філологія","2.76","0","Рівненський державний гуманітарний університет","0",11.43
"035 філологія","2.76","0","Маріупольський державний університет","0",9.52
"035 філологія","2.76","0","Східноукраїнський національний університет імені Володимира Даля","0",4.76
"035 філологія","2.76","0","Запорізький національний технічний університет","0",1.89
"035 філологія","2.76","0","Дніпровський державний технічний університет","0",4.35
"035 філологія","2.76","0","Запорізький національний університет","0",4.76
"035 філологія","2.76","0","Вищий навчальний заклад ""Університет імені Альфреда Нобеля""","0",4.24
"051 економіка","31.52","29.34","Національний університет харчових технологій","100",0
"051 економіка","31.52","29.34","Харківський державний університет харчування та торгівлі","100",0
"051 економіка","31.52","29.34","Луцький національний технічний університет","71.43",0
"051 економіка","31.52","29.34","Львівський національний університет імені Івана Франка","5.38",0
"051 економіка","31.52","29.34","Національний університет біоресурсів і природокористування України","62.5",0
"051 економіка","31.52","29.34","Державний університет інфраструктури та технологій","100",0
"051 економіка","31.52","29.34","Державний вищий навчальний заклад ""Національний гірничий університет""","41.67",0
"051 економіка","31.52","29.34","Донбаська державна машинобудівна академія","50",0
"051 економіка","31.52","29.34","Державний вищий навчальний заклад ""Криворізький національний університет""","83.33",0
"051 економіка","31.52","29.34","Рівненський державний гуманітарний університет","100",0
"051 економіка","31.52","29.34","Державний вищий навчальний заклад ""Національний лісотехнічний університет України""","100",0
"051 економіка","31.52","29.34","Одеський національний університет імені І. І. Мечникова","75",0
"051 економіка","31.52","29.34","Луганський національний аграрний університет","55.56",0
"051 економіка","31.52","29.34","Київський національний торговельно-економічний університет","7.5",0
"051 економіка","31.52","29.34","Черкаський національний університет імені Богдана Хмельницького","100",0
"051 економіка","31.52","29.34","Івано-Франківський національний технічний університет нафти і газу","62.5",0
