"vnz","total_st","mol_sp","percent"
"Хмельницький інститут соціальних технологій вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",47,25,53.2
"Хмельницький кооперативний торговельно-економічний інститут",247,205,83
"Хмельницький національний університет",1592,401,25.2
"Хмельницький університет управління та права",217,47,21.7
"Центральноукраїнський державний педагогічний університет імені Володимира Винниченка (Кіровоградський державний педагогічний університет імені Володимира Винниченка)",857,158,18.4
"Центральноукраїнський національний технічний університет",717,422,58.9
"Черкаська медична академія",175,152,86.9
"Черкаська філія Приватного вищого навчального закладу ""Європейський університет""",65,61,93.8
"Черкаський державний технологічний університет",764,368,48.2
"Черкаський інститут пожежної безпеки імені Героїв Чорнобиля Національного університету цивільного захисту України",184,7,3.8
"Черкаський навчально-науковий інститут Державного вищого навчального закладу «Університет банківської справи»",58,15,25.9
"Черкаський національний університет імені Богдана Хмельницького",1179,200,17
"Чернівецький національний університет імені Юрія Федьковича",3326,975,29.3
"Чернівецький торговельно - економічний інститут Київського національного торговельно - економічного університету",535,329,61.5
"Чернівецький факультет Національного технічного університету «Харківський політехнічний інститут»",69,31,44.9
"Чернігівський інститут імені Героїв Крут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",9,6,66.7
"Чернігівський інститут інформації, бізнесу і права Приватного вищого навчального закладу «Міжнародний науково-технічний університет імені академіка Юрія Бугая»",10,1,10
"Чернігівський національний педагогічний університет імені Т.Г. Шевченка",654,140,21.4
"Чернігівський національний технологічний університет",1320,521,39.5
"Чорноморський національний університет імені Петра Могили",867,85,9.8
"Чортківський навчально-науковий інститут підприємництва і бізнесу Тернопільського національного економічного університету",71,55,77.5
"Шосткинський інститут Сумського державного університету",40,25,62.5
"Яготинський інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",25,16,64
